,sortino,volatility,max drawdown,coverage(%),return(%)
dqn(s-raw),-0.06103565591615792,247.40308345581244,-3.575618361571535,0.06944444444444445,-16.37781861413914
dueling-dqn(s-raw),-0.06103565591615792,247.40308345581244,-3.575618361571535,0.06944444444444445,-16.37781861413914
ppo(s-raw),,0.0,0.0,0.0,0.0
dqn(m-raw),-0.06103565591615792,247.40308345581244,-3.575618361571535,0.06944444444444445,-16.37781861413914
dueling-dqn(m-raw),-0.19003671361425079,146.66209675564463,-4.857671933132674,99.375,-30.78003613605501
ppo(m-raw),-0.06103565591615792,247.40308345581244,-3.575618361571535,0.06944444444444445,-16.37781861413914
dqn(a),-0.0681043886036008,183.86027688228125,-2.137935501813916,27.152777777777775,-13.02412717433062
dueling-dqn(a),-0.06103565591615792,247.40308345581244,-3.575618361571535,0.06944444444444445,-16.37781861413914
ppo(a),-0.01184686333844603,225.87127244693383,-3.540725626926444,39.65277777777778,-2.769126440539665
rp,-0.03152414273475621,63.680856590816184,-3.4766054201237857,65.83333333333333,-2.187133328568235
bh,-0.06040020132144394,247.49022595538455,-3.575618361571535,0.1388888888888889,-16.21589545656793
hp,-0.4016317631135404,147.73954583448335,-1.2956234113731202,75.60806115357887,-54.33411789589799
